things,places
"CAMPBELL'S CHUNKY SOUPS,MANHATTEN CLAM CHOWDER",
"SOUP,CLAM CHOWDER,NEW ENGLAND,CND,PREP W/ EQ VOLUME H2O",
"CAMPBELL'S CHUNKY SOUPS,NEW ENGLAND CLAM CHOWDER",
"SOUP,BF BROTH,BOUILLON,CONSOMME,PREP W/ EQ VOLUME H2O",
"CAMPBELL'S CHUNKY SOUPS,OLD FASHIONED POTATO HAM CHOWDER",
"CAMPBELL'S CHUNKY SOUPS,OLD FASHIONED VEG BF SOUP",
"CAMPBELL'S CHUNKY SOUPS,PEPPER STEAK SOUP",
"CAMPBELL'S CHUNKY SOUPS,PORK RST CARROTS POTATOES SOUP",
"CAMPBELL'S CHUNKY SOUPS,ROADHOUSE - BF BEAN CHILI",
"CAMPBELL'S CHUNKY SOUPS,SALISBURY STEAK MUSHRMS ONIONS SOUP",
"CAMPBELL'S CHUNKY SOUPS,SAVORY CHICK WHITE WILD RICE SOUP",
"SOUP,MINESTRONE,CND,PREP W/ EQ VOLUME H2O",
"CAMPBELL'S CHUNKY SOUPS,SAVORY POT RST SOUP",
"SOUP,MUSHROOM BARLEY,CND,PREP W/ EQ VOLUME H2O",
"SOUP,CRM OF MUSHROOM,CND,PREP W/ EQ VOLUME H2O",
"SOUP,MUSHROOM W/ BF STOCK,CND,PREP W/ EQ VOLUME H2O",
"SOUP,ONION,CND,PREP W/ EQ VOLUME H2O",
"SOUP,CRM OF ONION,CND,PREP W/ EQ VOLUME H2O",
"CAMPBELL'S CHUNKY SOUPS,SAVORY VEG SOUP",
"SOUP,OYSTER STEW,CND,PREP W/ EQ VOLUME H2O",
"SOUP,PEA,GRN,CND,PREP W/ EQ VOLUME H2O",
"SOUP,PEA,SPLIT W/ HAM,CND,PREP W/ EQ VOLUME H2O",
"SOUP,PEPPERPOT,CND,PREP W/ EQ VOLUME H2O",
"SOUP,CRM OF POTATO,CND,PREP W/ EQ VOLUME H2O",
"CAMPBELL'S CHUNKY SOUPS,SIZZLIN' STEAK- GRLD STK CHILI BNS",
"SOUP,SCOTCH BROTH,CND,PREP W/ EQ VOLUME H2O",
"SOUP,CRM OF SHRIMP,CND,PREP W/ EQ VOLUME H2O",
"CAMPBELL'S CHUNKY SOUPS,SLOW RSTD BF W/ MUSHROOMS SOUP",
"CAMPBELL'S CHUNKY SOUPS,SMOKED CHICK W/ RSTD CORN CHOWDER",
"CAMPBELL'S CHUNKY SOUPS,SPLIT PEA 'N' HAM SOUP",
"SOUP,STOCKPOT,CND,PREP W/ EQ VOLUME H2O",
"SOUP,TOMATO BF W/ NOODLE,CND,PREP W/ EQ VOLUME H2O",
"CAMPBELL'S CHUNKY SOUPS,STEAK 'N' POTATO SOUP",
"SOUP,TOMATO RICE,CND,PREP W/ EQ VOLUME H2O",
"CAMPBELL'S CHNKY SOUPS,TANTALIZIN' TRKY - TRKY CHILI BNS SP",
"SOUP,TURKEY NOODLE,CND,PREP W/ EQ VOLUME H2O",
"SOUP,TURKEY VEG,CND,PREP W/ EQ VOLUME H2O",
"SOUP,VEGETARIAN VEG,CND,PREP W/ EQ VOLUME H2O",
"SOUP,VEG BF,CND,PREP W/ EQ VOLUME H2O",
"SOUP,VEG W/ BF BROTH,CND,PREP W/ EQ VOLUME H2O",
"SOUP,BEAN W/ BACON,DRY,MIX,PREP W/ H2O",
"SOUP,BF BROTH OR BOUILLON,PDR,PREP W/H2O",
"SOUP,BF BROTH,CUBED,PREP W/H2O",
"SOUP,CHICK BROTH OR BOUILLON,DRY,PREP W/ H2O",
"SOUP,CHICK BROTH CUBES,DRY,PREP W/ H2O",
"SOUP,CRM OF CHICK,DRY,MIX,PREP W/ H2O",
"SOUP,CHICK RICE,DRY,MIX,PREP W/ H2O",
"SOUP,CONSOMME W/ GELATIN,DRY,MIX,PREP W/ H2O",
"SOUP,MUSHROOM,DRY,MIX,PREP W/ H2O",
"SOUP,ONION,DRY,MIX,PREP W/ H2O",
"SOUP,OXTAIL,DRY,MIX,PREP W/ H2O",
"CAMPBELL'S RED & WHITE - MCRWVEABLE BOWLS,CHICK NOODLE SOUP",
"SOUP,TOMATO,DRY,MIX,PREP W/ H2O",
"SOUP,TOMATO VEG,DRY,MIX,PREP W/ H2O",
"SOUP,VEG BF,DRY,MIX,PREP W/ H2O",
"CAMPBELL'S RED & WHITE - MICROWAVEABLE BOWLS,CHICK RICE SOUP",
"CAMPBELL'S RED & WHITE - MCRWVEABLE BOWLS,CREAMY TOMATO SOUP",
"CAMPBELL'S RED & WHITE - MICROWAVEABLE BOWLS,TOMATO SOUP",
"CAMPBELL'S RED & WHITE - MICROWAVEABLE BOWLS,VEG BF SOUP",
"CAMPBELL'S SEL GOLD LABEL SOUPS,BLNDED RED PEPP BLK BEAN SP",
"CAMPBELL'S SEL GOLD LABEL SOUPS,CRMY PORTOBELLO MSHRM SOUP",
"CAMPBELL'S SEL GOLD LABEL SOUPS,GOLDEN BUTTERNUT SQSH SOUP",
"CAMPBELL'S SEL MCRWVABLE BOWLS,98% FT FR NEW ENGL CLAM CHDER",
"CAMPBELL'S SEL MCRWVABLE BOWLS,CHICK W/ EGG NOODLES SOUP",
"CAMPBELL'S SEL MCRWVABLE BWLS,ITAL SSGE PSTA & PEPRNI SOUP",
"CAMPBELL'S SEL MCRWVABLE BOWLS,ITALIAN-STYLE WEDDING SOUP",
"CAMPBELL'S SEL MCRWVABLE BOWLS,MEX STYLE CHICK TORTILLA SOUP",
"CAMPBELL'S SEL MICROWAVEABLE BOWLS,MINESTRONE SOUP",
"CAMPBELL'S SEL MCRWVABLE BOWLS,SVRY CHK & LONG GRN RICE SOUP",
"SOUP,CHICK NOODLE,DRY,MIX,PREP W/ H2O",
"CAMPBELL'S SEL SOUP,98% FAT FREE NEW ENGLAND CLAM CHOWDER",
"CAMPBELL'S SEL SOUP,BF W/ RSTD BARLEY SOUP",
"CAMPBELL'S SEL SOUP,CHICK & PASTA W/ RSTD GARLIC SOUP",
"CAMPBELL'S SEL SOUP,CHICK VEG MEDLEY SOUP",
"CAMPBELL'S SEL SOUP,CREAMY CHICK ALFREDO SOUP",
"CAMPBELL'S SEL SOUP,HEALTHY REQUEST MEX STYLE CHICK TORTILLA",
"CAMPBELL'S SEL SOUP,ITALIAN SAUSAGE W/ PASTA PEPPERONI SOUP",
"CAMPBELL'S SEL SOUP,ITALIAN-STYLE WEDDING SOUP",
"CAMPBELL'S SEL SOUP,MEDITERRANEAN MEATBALL BOWTIE PASTA SOUP",
"CAMPBELL'S SEL SOUP,MEXICAN STYLE CHICK TORTILLA SOUP",
"CAMPBELL SOUP COMPANY,CAMPBELL'S SEL SOUP,MINESTRONE SOUP",
"CAMPBELL'S SEL SOUP,NEW ENGLAND CLAM CHOWDER",
"CAMPBELL'S SEL SOUP,POTATO BROCCOLI CHS SOUP",
"SOUP,BF MUSHROOM,CND,PREP W/ EQ VOLUME H2O",
"CAMPBELL'S SEL SOUP,RSTD CHICK W/ LONG GRAIN WILD RICE SOUP",
"SOUP,CHICK MUSHROOM,CND,PREP W/ EQ VOLUME H2O",
"CAMPBELL'S SEL SOUP,RSTD CHICK W/ ROTINI & PENNE PASTA SOUP",
"CAMPBELL'S SEL SOUP,SAVORY WHITE BEAN W/ RSTD HAM SOUP",
"CAMPBELL'S SEL SOUP,SLOW RSTD BF & VEG SOUP",
"CAMPBELL'S SEL SOUP,SPLIT PEA W/ RSTD HAM SOUP",
"SOUP,TOMATO BISQUE,CND,PREP W/ EQ VOLUME H2O",
"SOUP,TOMATO,CND,PREP W/EQ VOLUME H2O,COMM",
"CAMPBELL SOUP COMPANY,CAMPBELL'S SEL SOUP,TOMATO GARDEN SOUP",
"CAMPBELL SOUP COMPANY,CAMPBELL'S SEL SOUP,VEG MEDLEY SOUP",
"SOUP,RAMEN NOODLE,ANY FLAVOR,DRY",
"SOUP,BROCCOLI CHS,CND,COND,COMM",
"CAMPBELL'S SOUP AT HAND,BLENDED VEG MEDLEY SOUP",
"CAMPBELL'S SOUP AT HAND,CHICK & STARS SOUP",
"CAMPBELL'S SOUP AT HAND,CHICK W/ MINI NOODLES SOUP",
"CAMPBELL'S SOUP AT HAND,CRM OF BROCCOLI SOUP",
"CAMPBELL'S SOUP AT HAND,CREAMY CHICK SOUP",
"CAMPBELL'S SOUP AT HAND,CREAMY TOMATO SOUP",
"CAMPBELL'S SOUP AT HAND,ITALIAN STYLE WEDDING SOUP",
"CAMPBELL'S SOUP AT HAND,NEW ENGLAND CLAM CHOWDER",
"CAMPBELL SOUP COMPANY,CAMPBELL'S SOUP AT HAND,VEG BF SOUP",
"CAMPBELL'S SOUP AT HAND,VELVETY POTATO SOUP",
"CAMPBELL SOUP COMPANY,PACE,CHIPOTLE CHUNKY SALSA",
"CAMPBELL SOUP COMPANY,PACE,CILANTRO CHUNKY SALSA",
"CAMPBELL SOUP COMPANY,PACE,ENCHILADA SAU",
"CAMPBELL SOUP COMPANY,PACE,GRN TACO SAU",
"CAMPBELL SOUP COMPANY,PACE,LIME & GARLIC CHUNKY SALSA",
"CAMPBELL SOUP COMPANY,PACE,ORGANIC PICANTE SAU",
"CAMPBELL SOUP COMPANY,PACE,PICANTE SAU",
"CAMPBELL SOUP COMPANY,PACE,RED TACO SAU",
"CAMPBELL SOUP COMPANY,PACE,THICK & CHUNKY SALSA",
"CAMPBELL SOUP COMPANY,SWANSON BROTH,CERT ORGANIC VEG BROTH",
"CAMPBELL SOUP COMPANY,SWANSON BROTH,VEG BROTH",
"CAMPBELL SOUP COMPANY,HLTHY RQUST STYLE WEDDING SP",
"SAUCE,CHS SAU MIX,DRY",
"SOUP,CHICK CORN CHOWDER,CHUNKY,RTS,SINGLE BRAND",
"SOUP,CHICK MUSHROOM CHOWDER,CHUNKY,RTS,SINGLE BRAND",
"SOUP,POTATO HAM CHOWDER,CHUNKY,RTS,SINGLE BRAND",
"SOUP,SIRLOIN BURGER W/VEG,RTS,SINGLE BRAND",
"SOUP,SPLIT PEA W/ HAM,CHUNKY,RED FAT,RED NA,RTS,SINGLE BRAND",
"SOUP,BEAN W/BACON,COND,SINGLE BRAND",
"SOUP,BF W/VEG&BARLEY,CND,COND,SINGLE BRAND",
"SOUP,CHICK W/STAR-SHAPED PASTA,CND,COND,SINGLE BRAND",
"SOUP,CRM OF CHICK,CND,COND,SINGLE BRAND",
"SOUP,SPLIT PEA W/HAM&BACON,CND,COND,SINGLE BRAND",
"SOUP,VEG BF,CND,COND,SINGLE BRAND",
"SOUP,CHICK VEG,CHUNKY,RED FAT,RED NA,RTS,SINGLE BRAND",
"SOUP,VEG BF,MICROWAVABLE,RTS,SINGLE BRAND",
"SOUP,CHUNKY BF W/ COUNTRY VEG,RTS",
"SAUCE,CHS,RTS",
"SAUCE,PASTA,SPAGHETTI/MARINARA,RTS",
"CAMPBELL SOUP COMP,PREGO PASTA,TRADITIONAL ITALIAN SAU,RTS",
"SOUP,CRM OF CHICK,CND,COND,RED NA",
"SOUP,TOMATO,CND,COND,RED NA",
"GRAVY,BROWN INST,DRY",
"GRAVY,INST BF,DRY",
"GRAVY,INST TURKEY,DRY",
"SAUCE,ALFREDO MIX,DRY",
"SAUCE,PEPPERS,HOT,CHILI,MATURE RED,CND",
"SAUCE,CHILI,PEPPERS,HOT,IMMAT GRN,CND",
FISH BROTH,
"SOUP,TOMATO,LO NA,W/H2O",
"SOUP,PEA,LO NA,PREP W/ EQ VOLUME H2O",
"SOUP,CHICK NOODLE,LO NA,CND,PREP W/ EQ VOLUME H2O",
"SOUP,VEG SOUP,COND,LO NA,PREP W/ EQ VOLUME H2O",
"SOUP,CRM OF MUSHROOM,LO NA,RTS,CND",
"POTATO SOUP,INST,DRY MIX",
"SOUP,CHICK BROTH,LO NA,CND",
"SAUCE,WORCESTERSHIRE",
"SAUCE,TOMATO CHILI SAU,BTLD,W/SALT",
"SAUCE,TOMATO CHILI SAU,BTLD,NO SALT,LO NA",
"SOUP,VEG CHICK,CND,PREP W/ H2O,LO NA",
"SAUCE,BARBECUE,LO NA",
"SAUCE,PASTA,SPAGHETTI/MARINARA,RTS,LO NA",
"GRAVY,MEAT OR POULTRY,LO NA,PREP",
"SOUP,BF & MUSHROOM,LO NA,CHUNK STYLE",
ADOBO FRESCO,
"SOUP,BF STROGANOFF,CND,CHUNKY STYLE,RTS",
"SOUP,BOUILLON CUBES&GRANULES,LO NA,DRY",
"SOUP,RAMEN NOODLE,BF FLAVOR,DRY",
"SOUP,RAMEN NOODLE,CHICK FLAVOR,DRY",
"Soup, Swanson chickne broth",
"GRY, HNZ Home style beef gravy",
"CAMPBELL SOUP COMPANY,HEALTHY REQUEST,CHICK NOODLE SOUP,COND",
"CAMPBELL SOUP COMPANY,HEALTHY REQUEST,CRM OF CELERY,COND",
"CAMPBELL SOUP COMPANY,HEALTHY REQUEST,CRM OF MUSHROOM ,COND",
"CAMPBELL SOUP,HEALTHY REQUEST,HOMESTYL CHICK NOODLE,COND",
"CAMPBELL SOUP COMPANY,HEALTHY REQUEST,MINESTRONE SOUP,COND",
"CAMPBELL SOUP COMPANY,HEALTHY REQUEST,TOMATO SOUP,COND",
"CAMPBELL SOUP COMPANY,HEALTHY REQUEST,VEG SOUP,COND",
"CAMPBELL SOUP,PREGO PASTA,CHUNKY GARDEN COMB ITALIAN SAU,RTS",
"CAMPBELL,PREGO PASTA,CHNKY GRDN TMTO,ON & GRLIC ITAL SAU,RTS",
"CAMPBELL SOUP COMPANY,CAMPBELL'S AU JUS GRAVY",
"CAMPBELL SOUP COMPANY,CAMPBELL'S BF GRAVY",
"CAMPBELL SOUP COMPANY,CAMPBELL'S BROWN GRAVY W/ ONIONS",
"CAMPBELL SOUP COMPANY,CAMPBELL'S CHICK GRAVY",
"BARBECUE LOAF,PORK,BEEF",
"BEERWURST,BEER SALAMI,PORK & BF",
"BEERWURST,BEER SALAMI,PORK",
SAUSAGE  BERLINER  PORK  BF,
BLOOD SAUSAGE,
BOCKWURST  PORK  VEAL  RAW,
"BOLOGNA,BF",
"BOLOGNA,BF & PORK",
"BOLOGNA,PORK",
BOLOGNA  TURKEY,
"BRATWURST,PORK,CKD",
"BRAUNSCHWEIGER (A LIVER SAUSAGE),PORK",
"BROTWURST,PORK,BF,LINK",
"CHEESEFURTER,CHS SMOKIE,PORK,BF",
CHICKEN ROLL  LT MEAT,
CHICKEN SPRD,
"CHORIZO,PORK AND BEEF",
"CORNED BEEF LOAF,JELLIED",
"DUTCH BRAND LOAF,CHICK,PORK & BF",
FRANKFURTER  BF,
FRANKFURTER  BF & PORK,
"FRANKFURTER,CHICK",
"FRANKFURTER,TURKEY",
"HAM,CHOPPED,CANNED",
"HAM,CHOPPED,NOT CANNED",
"HAM,SLICED,EX LN",
"HAM,SLICED,REG (APPROX 11% FAT)",
"HAM,MINCED",
HAM SALAD SPREAD,
HAM&CHS LOAF OR ROLL,
HAM AND CHEESE SPREAD,
"HEADCHEESE,PORK",
HONEY LOAF  PORK  BF,
"SAUSAGE,ITALIAN,PORK,RAW",
"KIELBASA,KOLBASSY,PORK,BF,NONFAT DRY MILK",
KNACKWURST  KNOCKWURST  PORK  BF,
LEBANON BOLOGNA  BF,
"LIVER CHEESE,PORK",
"LIVER SAUSAGE,LIVERWURST,PORK",
"LUNCHEON MEAT,BEEF,LOAVED",
"LUNCHEON MEAT,BF,THIN SLICED",
"USDA CMDTY,LUNCHEON MEAT,CND",
"LUNCHEON MEAT,PORK,CANNED",
"LUNCHEON MEAT,PORK,BEEF",
"MORTADELLA,BEEF,PORK",
"OLIVE LOAF,PORK",
"PASTRAMI,TURKEY",
"PATE,CHICKEN LIVER,CANNED",
"PATE,GOOSE LIVER,SMOKED,CND",
"PATE,LIVER,NOT SPECIFIED,CND",
PEPPERED LOAF  PORK  BF,
"PEPPERONI,PORK,BEEF",
"PICKLE&PIMIENTO LOAF,PORK",
"POLISH SAUSAGE,PORK",
"LUXURY LOAF,PORK",
"MOTHER'S LOAF,PORK",
"PICNIC LOAF,PORK,BEEF",
"PORK SAUSAGE,FRSH,RAW",
"PORK SAUSAGE,FRSH,CKD",
"PORK&BF SAUSAGE,FRSH,CKD",
"TURKEY SAUSAGE,RED FAT,BROWN&SERVE,CKD",
POULTRY SALAD SNDWCH SPRD,
SALAMI  CKD  BF,
"SALAMI,CKD,BF&PORK",
"SALAMI,COOKED,TURKEY",
"SALAMI,DRY OR HARD,PORK",
"SALAMI,DRY OR HARD,PORK,BF",
"SANDWICH SPREAD,PORK,BEEF",
"SMOKED LINK SAUSAGE,PORK",
"SAUSAGE,SMOKED LINK SAUSAGE,PORK & BF",
"SMOKED LINK SAUSAGE,PORK&BF,FLR&NONFAT DRY MILK",
"SMOKED LINK SAUSAGE,PORK&BF,NONFAT DRY MILK",
"THURINGER,CERVELAT,SMMR SAUSAGE,BF,PORK",
TURKEY BREAST MEAT,
"TURKEY HAM,CURED TURKEY THIGH MEAT",
"TURKEY ROLL,LIGHT MEAT",
"TURKEY ROLL,LT&DK MEAT",
"SAUSAGE,VIENNA,CND,CHICK,BF,PORK",
"HONEY ROLL SAUSAGE,BEEF",
"SAUSAGE,ITALIAN,PORK,CKD",
"LUNCHEON SAUSAGE,PORK&BF",
"NEW ENGLAND BRAND SAUSAGE,PORK,BF",
"OSCAR MAYER,BOLOGNA (CHICK,PORK,BF)",
"OSCAR MAYER,BOLOGNA (BEEF)",
"OSCAR MAYER,BOLOGNA (BEEF LIGHT)",
"OSCAR MAYER,BOLOGNA (FAT FREE)",
OSCAR MAYER  BOLOGNA LIGHT (PORK  CHICK  BEEF),
OSCAR MAYER. BOLOGNA (WISCONSIN MADE RING),
"OSCAR MAYER,BRAUNSCHWEIGER LIVER SAUSAGE (SLICED)",
"OSCAR MAYER,BRAUNSCHWEIGER LIVER SAUSAGE (SAREN TUBE)",
OSCAR MAYER  CHICKEN BREAST (HONEY GLAZED),
"OSCAR MAYER,CHICK BREAST (OVEN RSTD,FAT FREE)",
OSCAR MAYER  HAM & CHEESE LOAF,
"OSCAR MAYER,HAM (CHOPPED W/ NAT JUICE)",
OSCAR MAYER  HAM (WATER ADDED  BKD CKD 96% FAT FREE),
"OSCAR MAYER,HAM (H2O ,BLD)",
"OSCAR MAYER,HAM (H2O ,HONEY)",
"OSCAR MAYER,HAM (H2O ,SMOKED,CKD)",
"OSCAR MAYER,HAM (40%HAM/WATER PRODUCT,SMOKED,FAT FREE)",
"OSCAR MAYER,HEAD CHEESE",
"OSCAR MAYER,LIVER CHS,PORK FAT WRAPPED",
"OSCAR MAYER,LUNCHEON LOAF (SPICED)",
"OSCAR MAYER,OLD FASHIONED LOAF",
"OSCAR MAYER,OLIVE LOAF (CHICK,PORK,TURKEY)",
"OSCAR MAYER,PICKLE PIMIENTO LOAF (W/CHICK)",
"OSCAR MAYER,PORK SAUSAGE LINKS (CKD)",
"OSCAR MAYER,SALAMI BF COTTO",
"OSCAR MAYER,SALAMI COTTO (BF,PORK,CHICK)",
"OSCAR MAYER,SALAMI (FOR BEER)",
"OSCAR MAYER,SALAMI (GENOA)",
"OSCAR MAYER,SALAMI (HARD)",
"OSCAR MAYER,SNDWCH SPRD (PORK,CHICK,BF)",
"OSCAR MAYER,SMOKIE LINKS SAUSAGE",
OSCAR MAYER  SMOKIES (BEEF),
"OSCAR MAYER,SMOKIES (CHS)",
"OSCAR MAYER,SMOKIES SAUSAGE LITTLE (PORK,TURKEY)",
"OSCAR MAYER,SMOKIES SAUSAGE LITTLE CHS (PORK,TURKEY)",
"OSCAR MAYER,SMMR SAUSAGE BF THURINGER CERVELAT",
"OSCAR MAYER,SMMR SAUSAGE THURINGER CERVALAT",
"OSCAR MAYER,TURKEY BREAST (SMOKED,FAT FREE)",
"OSCAR MAYER,WIENERS (PORK,TURKEY)",
"OSCAR MAYER,WIENERS (BEEF FRANKS)",
OSCAR MAYER  WIENERS (BEEF FRANKS  BUN LENGTH),
"OSCAR MAYER,WIENERS (BEEF FRANKS,FAT FREE)",
"OSCAR MAYER,WIENERS (BEEF FRANKS,LIGHT)",
"OSCAR MAYER,WIENERS (CHEESE HOT DOGS W/ TURKEY)",
"OSCAR MAYER,WIENERS (FAT FREE HOT DOGS)",
"OSCAR MAYER,WIENERS (LIGHT PORK,TURKEY,BEEF)",
"OSCAR MAYER,WIENERS LITTLE (PORK,TURKEY)",
"LOUIS RICH,CHICK BREAST CLASSIC BKD /GRILL (CARVING BOARD)",
"LOUIS RICH,CHICK BREAST (OVEN RSTD DELUXE)",
"LOUIS RICH,CHICK (WHITE,OVEN RSTD)",
"LOUIS RICH,FRANKS (TURKEY & CHICK CHEESE)",
"LOUIS RICH,FRANKS (TURKEY & CHICKEN)",
LOUIS RICH  TURKEY BACON,
"LOUIS RICH,TURKEY BOLOGNA",
"LOUIS RICH,TURKEY BREAST & WHITE TURKEY (OVEN ROASTED)",
"LOUIS RICH,TURKEY BREAST&WHITE TURKEY (SMOKED SLICED)",
"LOUIS RICH,TURKEY (HONEY RSTD,FAT FREE)",
"LOUIS RICH,TURKEY BREAST (OVEN RSTD,FAT FREE)",
"LOUIS RICH,TURKEY BREAST (OVEN RSTD,PORTION FAT FREE)",
"LOUIS RICH,TURKEY BREAST (SMOKED,CARVING BOARD)",
"LOUIS RICH,TURKEY BREAST (SMOKED,PORTION FAT FREE)",
"LOUIS RICH,TURKEY HAM (10% H2O)",
"LOUIS RICH,TURKEY NUGGETS/STICKS (BREADED)",
"LOUIS RICH,TURKEY SALAMI",
"LOUIS RICH,TURKEY SALAMI COTTO",
"LOUIS RICH,TURKEY SMOKED SAUSAGE",
"BUTCHER BOY MEATS,INC.,TURKEY FRANKS",
"CARL BUDDIG,CKD CORNED BF,CHOPD,PRESSED",
"CARL BUDDIG,SMOKED SLICED CHICK,LT&DK MEAT",
"CARL BUDDIG,SMOKED SLICED BF",
"CARL BUDDIG,SMOKED SLICED TURKEY,LT&DK MEAT",
"CARL BUDDIG. CKD SMOKED BF PASTRAMI,CHOPD,PRESSED",
"CARL BUDDIG,SMOKED SLICED HAM",
HORMEL SPAM  LUNCHEON MEAT  PORK W/ HAM  MINCED  CND,
"HORMEL SPAM,LT LUNCH MT,PORK & CHICK,MINCED,CND,VIT C ADDED",
HORMEL PILLOW PAK SLICED TURKEY PEPPERONI,
HORMEL WRANGLER BEEF FRANKS,
"TURKEY,PORK,&BF SAUSAGE,LOFAT,SMOKED",
"USDA COMMODITY,PORK,SAUSAGE,BULK/LINKS/PATTIES,FRZ,CKD",
"FRANKFURTER,BF,PORK,& TURKEY,FAT FREE",
"LUNCHEON MEAT,PORK,HAM,&CHICK,MINCD,CND,RED NA,VIT C, (SPAM)",
"USDA COMMODITY,PORK SAUSAGE,BULK/LINKS/PATTIES,FRZ,RAW",
"LUNCHEON MEAT,PORK W/HAM,MINCED,CND,INCL SPAM (HORMEL)",
"LUNCHEON MEAT,PORK&CHICK,MINCED,CND,INCL SPAM LITE",
BRATWURST  VEAL  CKD,
LIVERWURST SPRD,
ROAST BF SPRD,
SALAMI  PORK  BF  LESS NA,
SAUSAGE  ITALIAN  SWT  LINKS,
SAUSAGE  POLISH  BF W/ CHICK  HOT,
SAUSAGE  POLISH  PORK & BF  SMOKED,
SAUSAGE  PORK & BF  W/ CHEDDAR CHS  SMOKED,
SAUSAGE  SMMR  PORK & BF  STKS  W/ CHEDDAR CHS,
SAUSAGE  TURKEY  BRKFST LINKS  MILD,
SWISSWURST  PORK & BF  W/ SWISS CHS  SMOKED,
BACON & BF STKS,
BRATWURST  BF & PORK  SMOKED,
"BRATWURST,CHICK,CKD",
BRATWURST  PORK  BF & TURKEY  LITE  SMOKED,
PASTRAMI  BF  98% FAT-FREE,
SALAMI  ITALIAN  PORK,
SAUSAGE  ITALIAN  TURKEY  SMOKED,
SAUSAGE  CHICK  BF  PORK  SKINLESS  SMOKED,
SAUSAGE  TURKEY  HOT  SMOKED,
"YACHTWURST,W/ PISTACHIO NUTS,CKD",
BEERWURST  PORK & BF,
CHICKEN BREAST  FAT-FREE  MESQ FLAVOR  SLICED,
CHICKEN BREAST  OVEN-ROASTED  FAT-FREE  SLICED,
"KIELBASA,POLISH,TURKEY & BF,SMOKED",
OVEN-ROASTED CHICK BREAST ROLL,
BOLOGNA  PORK & TURKEY  LITE,
BOLOGNA  PORK  TURKEY & BF,
HAM  HONEY  SMOKED  CKD,
"FRANKFURTER,PORK",
MACARONI & CHS LOAF  CHICK  PORK & BF,
SALAMI  ITALIAN  PORK & BF  DRY  SLICED  50% LESS NA,
PATE  TRUFFLE FLAVOR,
"TURKEY,BREAST,SMOKED,LEMON PEPPER FLAVOR,97% FAT-FREE",
TURKEY  WHITE  ROTISSERIE  DELI CUT,
FRANKFURTER  BF  HTD,
FRANKFURTER  MEAT  HTD,
FRANKFURTER  MEAT,
"SCRAPPLE,PORK",
"BOLOGNA,CHICK,TURKEY,PORK",
"PORK SAUSAGE,PRE-COOKED",
"BEEF SAUSAGE,PRE-COOKED",
"TURKEY SAUSAGE,FRSH,RAW",
"BEEF SAUSAGE,FRSH,CKD",
"PORK & TURKEY SAUSAGE,PRE-COOKED",
"TURKEY SAUSAGE,FRSH,CKD",
"BOLOGNA,CHICK,PORK,BF",
"BOLOGNA,CHICK,PORK",
"CEREALS RTE,KELLOGG,KELLOGG'S ALL-BRAN ORIGINAL",
"CEREALS RTE,OATS,CORN PUFFED MIXTURE,PRESWEETENED",
"CEREALS RTE,KELLOGG,KELLOGG'S APPL JACKS",
"CEREALS RTE,KELLOGG,KELLOGG'S ALL-BRAN BRAN BUDS",
"CEREALS RTE,QUAKER,CAP'N CRUNCH",
"CEREALS RTE,QUAKER,CAP'N CRUNCH W/ CRUNCHBERRIES",
"CEREALS RTE,QUAKER,CAP'N CRUNCH'S PNUT BUTTER CRUNCH",
"CEREALS RTE,GENERAL MILLS,CHEERIOS",
"CEREALS RTE,KELLOGG,KELLOGG'S COCOA KRISPIES",
"CEREALS RTE,RICE,PUFFED,PRESWEETENED,W/ COCOA,SINGLE BRAND",
"CEREALS RTE,GENERAL MILLS,COOKIE CRISP",
"CEREALS RTE,QUAKER,QUAKER CRUNCHY BRAN",
"CEREALS RTE,GENERAL MILLS,CORN CHEX",
"CEREALS RTE,KELLOGG,KELLOGG'S CORN FLAKES",
"CEREALS RTE,CORN FLAKES,LO NA",
"CEREALS RTE,KELLOGG,KELLOGG'S CRACKLIN' OAT BRAN",
"CEREALS RTE,RALSTON CRISPY RICE",
"CEREALS RTE,GENERAL MILLS,WHEATIES RAISIN BRAN",
"CEREALS RTE,KELLOGG'S ALL-BRAN COMPLETE WHEAT FLAKES",
"CEREALS RTE,BRAN FLAKES,SINGLE BRAND",
"CEREALS RTE,KELLOGG,KELLOGG'S FROOT LOOPS",
"CEREALS RTE,KELLOGG'S FRSTD MINI-WHEATS,ORIGINAL",
"CEREALS RTE,KELLOGG,KELLOGG'S FRSTD RICE KRISPIES",
"CEREALS RTE,RICE,PUFFED,PRESWEETENED,FRUIT FLAV,SINGLE BRAND",
"CEREALS RTE,GENERAL MILLS,GOLDEN GRAHAMS",
"CEREALS RTE,GRANOLA,HOMEMADE",
"CEREALS RTE,KRAFT,POST GRAPE-NUTS CRL",
"CEREALS RTE,WHEAT&MALT BARLEY FLAKES",
"CEREALS RTE,GENERAL MILLS,HONEY NUT CHEERIOS",
"CEREALS RTE,CORN&OAT FLOURS,PUFFED PRESWEETENED,SINGLE BRAND",
"CEREALS RTE,QUAKER,KING VITAMAN",
"CEREALS RTE,GENERAL MILLS,KIX",
"CEREALS RTE,QUAKER,QUAKER OAT LIFE,PLN",
"CEREALS RTE,GENERAL MILLS,LUCKY CHARMS",
"CEREALS RTE,BRAN,MALTED FLR,SINGLE BRAND",
