things,places
"MILK,DRY,WHOLE",ARAMARK FHC SPORTS (BAR 244)
"MILK,DRY,NONFAT,REG,WO/ VIT A",ARAMARK FHC SPORTS (BAR 252-253)
"MILK,DRY,NONFAT,INST,W/ VIT A",ARAMARK/PNC
"MILK,DRY,NONFAT,CA RED",ARA-MONUMENTAL LIFE INSURANCE COMPANY
"MILK,BUTTERMILK,DRIED",ARCH SOCIAL CLUB
"MILK,CND,COND,SWTND",ARCOS
"MILK,CND,EVAP,WO/ VIT A",ARIZONA BAR & GRILL
"MILK,CND,EVAP,NONFAT",ASAHI SUSHI
"MILK,CHOC,FLUID,COMM,",asian taste
"MILK,CHOC,FLUID,COMM,RED FAT",ATWATER'S
"MILK,CHOC,FLUID,COMM,LOWFAT",AU BON PAIN
"MILK,CHOC BEV,HOT COCOA,HOMEMADE",AUSTIN GRILL
"MILK,GOAT,FLUID",AUSTIN GRILL
"MILK,HUMAN,MATURE,FLUID",AVENUE BAR & LIQUOR
"MILK,INDIAN BUFFALO,FLUID",azteca de oro
"MILK,SHEEP,FLUID",B
"MILK SHAKES,THICK CHOC",B & J RESTAURANT
"MILK SHAKES,THICK VANILLA",B & O CAFE
"WHEY,ACID,FLUID",B G'S
"WHEY,ACID,DRIED","B.G.'S,PUB INCORPORATED"
"WHEY,SWEET,FLUID",babalu grill
"WHEY,SWEET,DRIED",BACKSTRETCH SALOON
"YOGURT,PLN,WHL MILK,8 GRAMS PROT PER 8 OZ",BAJA BEACH CLUB  (COMBINED WITH BAR-L)
"YOGURT,PLN,LOFAT,12 GRAMS PROT PER 8 OZ",BALTIMORE BEVERAGE CO. LLC
"YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ",BALTIMORE BEVERAGE CO. -STARBUCKS
"YOGURT,VANILLA,LOFAT,11 GRAMS PROT PER 8 OZ",BALTIMORE COUNTRY CLUB
"YOGURT,FRUIT,LOFAT,9 GRAMS PROT PER 8 OZ",BALTIMORE DELIGHT RESTAURANT
"YOGURT,FRUIT,LOFAT,10 GRAMS PROT PER 8 OZ","BALTIMORE EAGLE, INC."
"YOGURT,FRUIT,LOFAT,11 GRAMS PROT PER 8 OZ",BALTIMORE ESTONIAN SOCIETY
"EGG,WHOLE,RAW,FRESH",BALTIMORE MARRIOTT WATERFRONT/EMPLOYEE CAFETERIA
"EGG,WHITE,RAW,FRESH",BALTIMORE MARRIOTT WATERFRONT/GRILLE 700 RESTAURAN
"EGG,YOLK,RAW,FRSH",BALTIMORE MARRIOTT WATERFRONT/KOZMOS BAR
"EGG,YOLK,RAW,FROZEN",BALTIMORE MARRIOTT WATERFRONT/RIGANOS DELI
"EGG,YOLK,RAW,FRZ,SUGARED",BALTIMORE MARRIOTT-INNER HARBOR/EMP. CAFETERIA
"EGG,WHL,CKD,FRIED",BALTIMORE MARRIOTT-INNER HARBOR/REST/BAR
"EGG,WHL,CKD,HARD-BOILED",BALTIMORE PHO
"EGG,WHOLE,COOKED,OMELET",BALTMORE KICKERS
"EGG,WHL,CKD,POACHED",BANJARA
"EGG,WHL,CKD,SCRMBLD",BANTHAI
"EGG,WHOLE,DRIED",BARISTA ESPRESSO CAF
"EGG,WHL,DRIED,STABILIZED,GLUCOSE RED",BARNES & NOBLE BOOKSELLERS
"EGG,WHITE,DRIED,FLAKES,GLUCOSE RED",BARTENDERS
"EGG,WHITE,DRIED,PDR,GLUCOSE RED",BLU BAMBU-FRESH AISIAN EATS
"EGG,YOLK,DRIED",BLUE AGAVE RESTAURANT AND TEQUILERIA
"EGG,DUCK,WHOLE,FRESH,RAW",BLUE CRAB EXPRESS & CAF INC.
"EGG,GOOSE,WHOLE,FRESH,RAW",blue island malaysian cuisine
"EGG,QUAIL,WHOLE,FRESH,RAW",BLUE JEAN CAFE
"EGG,TURKEY,WHL,FRSH,RAW",BLUE MOON  DINING  HOUSE  & EXPRESSO  BAR
"EGG SUBSTITUTE,FROZEN",BLUE PARROT
"EGG SUBSTITUTE,LIQUID",BLUE POINT CRAB HOUSE (seasonal)
"EGG SUBSTITUTE,POWDER",BLUE SEA GRILL
"BUTTER,WITHOUT SALT",BLUE SKY RESTAURANT
"CHEESE,PARMESAN,SHREDDED",BLUEHOUSE
"CHEESE,PAST PROCESS,AMERICAN,WO/DI NA PO4",BO BROOKS
"CHEESE,PAST PROCESS,SWISS,WO/DI NA PO4",BOB CUMMINGS PLACE
"CHEESE FD,PAST PROCESS,AMERICAN,W/DI NA PO4",BOB DELI
